smiles,pert_iname,broad_id,activity_model_0,activity_model_1,activity_model_2,activity_model_3,activity_model_4,activity_model_5,activity_model_6,activity_model_7,activity_model_8,activity_model_9
CCS(=O)(=O)N(Cc1cccnc1)c1cccc(c1)-c1ccc(cc1)C#N,CBiPES,BRD-K34675210-003-01-4,0.02353611,0.020944182,0.018000454,0.0066590323,0.057111647,0.022551438,0.036698837,0.00690909,0.006605022,0.08082075
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,methylergometrine,BRD-K34685430-050-11-7,0.058124553,0.07271956,0.04051516,0.13031085,0.03732681,0.07372077,0.050432358,0.08485309,0.13395081,0.10425725
CN(C)c1ccc(Cn2cnc3CN([C@@H](Cc23)C(O)=O)C(=O)C(c2ccccc2)c2ccccc2)cc1C,PD-123319,BRD-K34713073-001-01-3,0.0009772577,0.008230339,0.010583024,0.012981953,0.00816433,0.048942097,0.0108994795,0.006402608,0.008490769,0.104034916
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,levodopa,BRD-K34730807-001-15-0,0.45914367,0.5599874,0.83315974,0.5683085,0.62660396,0.5793456,0.6133362,0.59882843,0.61510307,0.6856485
CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,glimepiride,BRD-K34776109-001-14-1,0.21086311,0.023933692,0.040366113,0.03517815,0.105570264,0.13683696,0.035466865,0.010430798,0.17147057,0.26601267
Fc1ccc(NC(=O)[C@@H]2[C@H](N(CC(F)(F)F)C(=O)c3ccccc23)c2cccnc2)cc1C#N,SJ-733,BRD-K34798115-001-02-9,0.2737292,0.16480283,0.24684326,0.12514791,0.118478864,0.16161157,0.28210276,0.15952282,0.24528398,0.24752457
C[C@H](Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1)[C@@H](O)CO,SRT3190,BRD-K34801930-001-01-9,0.42774457,0.74403477,0.62929124,0.7866952,0.075817905,0.18357116,0.49704987,0.6304043,0.63549626,0.58988106
NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,ACT-132577,BRD-K34843150-001-01-4,0.15306428,0.2768001,0.49501282,0.41075292,0.36760956,0.5359862,0.3640963,0.3956795,0.09781342,0.70226866
C\C1=C\CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,parthenolide-(-),BRD-K34851558-001-02-3,0.50428146,0.9545376,0.7366771,0.7242594,0.92680895,0.7193828,0.57859474,0.63780504,0.4496991,0.7859094
Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cccc3OCCOc23)c1,adoprazine,BRD-K34870043-001-01-8,0.29002804,0.1996812,0.1562083,0.31156233,0.17309839,0.39375386,0.17142162,0.13347487,0.27719116,0.29591057
