,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
79,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,Active
80,135899465,CCC(C)N1CCC2(CC1)NC3=C4C5=C(C(=NC(=O)C(=CC=C[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]([C@H](C=CO[C@@]6(C(=O)C4=C(O6)C(=C5O)C)C)OC)C)OC(=O)C)C)O)C)O)C)C)C3=N2)O,Active
81,135900090,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)/C,Active
82,3684314,CC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,Active
83,334409,C1=C2C(=C(N=C(N2)N)N)C3=CC=NC3=C1,Active
84,1917463,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4OC)F)C(=O)O,Active
85,10695961,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+],Active
86,1090196,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active
87,243449,CCN(CC)CC1CN(C(=O)O1)N=CC2=CC=C(O2)[N+](=O)[O-],Active
88,3395923,CC1CN(CCN1C(=S)NC2=CC=C(C=C2)F)C3=C(C=C4C(=C3OC)N(C=C(C4=O)C(=O)O)C5CC5)F,Active
89,6093,C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-],Active
90,3084396,CC(C(=O)O)O.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active
91,44246710,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(C(=O)C3(C(=O)C2C(=O)C4=C1C=CC=C4O)O)C(=O)N)N(C)C)O.Cl,Active
92,4852862,C1=CSC(=C1C(=O)N)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
93,404406,C[N+]1=C2CCCCC2=C3N1C4=CC=CC=C4C3=CC5=CC=C(C=C5)N(C)C.C(F)(F)(F)S(=O)(=O)[O-],Active
