Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,GDC-0994,21,-9.75
model_01_psef_protein,PRN1371,53,-9.75
model_01_psef_protein,pravadoline,14,-9.75
model_01_psef_protein,elinogrel,41,-9.75
model_01_psef_protein,AZD1390,36,-9.75
model_01_psef_protein,MR-16728,1,-9.75
model_01_psef_protein,carmoterol,77,-9.75
model_01_psef_protein,rupatadine,20,-9.75
model_01_psef_protein,indiplon,25,-9.75
model_01_psef_protein,rosamicin,72,-9.75
model_01_psef_protein,NS-11394,85,-9.75
model_01_psef_protein,I-CBP-112,30,-9.75
model_01_psef_protein,NMS-1286937,79,-9.75
model_01_psef_protein,amrubicin,15,-9.75
model_01_psef_protein,bruceantin,44,-9.75
model_01_psef_protein,PF-04217903,75,-9.75
model_01_psef_protein,vapendavir,73,-9.74
model_01_psef_protein,ML323,60,-9.74
model_01_psef_protein,BI-2536,56,-9.74
model_01_psef_protein,PPY-A,4,-9.74
model_01_psef_protein,simvastatin,100,-9.74
model_01_psef_protein,tetrandrine,4,-9.74
model_01_psef_protein,tezacaftor,22,-9.73
model_01_psef_protein,octenidine,57,-9.73
model_01_psef_protein,sertindole,53,-9.73
model_01_psef_protein,ixabepilone,89,-9.73
model_01_psef_protein,CITCO,96,-9.73
model_01_psef_protein,inarigivir-soproxil,45,-9.73
model_01_psef_protein,ETC-206,30,-9.73
model_01_psef_protein,propidium-iodide,5,-9.73
model_01_psef_protein,freselestat,38,-9.73
model_01_psef_protein,josamycin,2,-9.73
model_01_psef_protein,GSK9027,96,-9.72
model_01_psef_protein,ziprasidone,14,-9.72
model_01_psef_protein,mertansine,41,-9.72
model_01_psef_protein,acelarin,21,-9.72
model_01_psef_protein,hPGDS-IN-1,41,-9.72
model_01_psef_protein,etoposide-phosphate,62,-9.72
model_01_psef_protein,CG-400549,33,-9.72
model_01_psef_protein,ASP-2535,75,-9.72
model_01_psef_protein,tanespimycin,16,-9.72
model_01_psef_protein,pranidipine,99,-9.72
model_01_psef_protein,GW-405833,73,-9.72
model_01_psef_protein,AR-C155858,84,-9.72
model_01_psef_protein,lafutidine,94,-9.72
model_01_psef_protein,glycerol-phenylbutyrate,53,-9.72
model_01_psef_protein,R306465,44,-9.71
model_01_psef_protein,ethynodiol-diacetate,50,-9.71
model_01_psef_protein,lobeline,44,-9.71
model_01_psef_protein,JW-55,44,-9.71
model_01_psef_protein,BMS-986020,85,-9.71
model_01_psef_protein,GSK2256294A,66,-9.71
model_01_psef_protein,biperiden,16,-9.71
model_01_psef_protein,canertinib,2,-9.71
model_01_psef_protein,CGP-20712A,91,-9.71
model_01_psef_protein,PFI-3,47,-9.7
model_01_psef_protein,falecalcitriol,11,-9.7
model_01_psef_protein,UNC2250,53,-9.7
model_01_psef_protein,AS-2034178,80,-9.7
model_01_psef_protein,entinostat,85,-9.7
model_01_psef_protein,ketanserin,52,-9.7
model_01_psef_protein,AZ-12080282,2,-9.7
model_01_psef_protein,Ro-3306,5,-9.7
model_01_psef_protein,cenerimod,75,-9.7
model_01_psef_protein,deslorelin,75,-9.7
model_01_psef_protein,amenamevir,51,-9.69
model_01_psef_protein,ketoconazole,23,-9.69
model_01_psef_protein,AM-404,75,-9.69
model_01_psef_protein,BRD-K04466929-001-12-9,65,-9.69
model_01_psef_protein,AZ-10417808,81,-9.69
model_01_psef_protein,neurodazine,83,-9.69
model_01_psef_protein,terconazole,59,-9.69
model_01_psef_protein,PHA-848125,16,-9.69
model_01_psef_protein,BAY1217389,55,-9.69
model_01_psef_protein,nomegestrol-acetate,2,-9.69
model_01_psef_protein,procyanidin-B-2,66,-9.69
model_01_psef_protein,RG7800,2,-9.68
model_01_psef_protein,ralinepag,62,-9.68
model_01_psef_protein,BMS-626529,18,-9.68
model_01_psef_protein,LY3214996,88,-9.68
model_01_psef_protein,ranolazine,98,-9.68
model_01_psef_protein,boceprevir,54,-9.68
model_01_psef_protein,SN-6,68,-9.68
model_01_psef_protein,PF-03814735,10,-9.68
model_01_psef_protein,otilonium,56,-9.68
model_01_psef_protein,bremelanotide,78,-9.68
model_01_psef_protein,carboxyamidotriazole,35,-9.68
model_01_psef_protein,PCI-29732,81,-9.68
model_01_psef_protein,SC-51089,20,-9.68
model_01_psef_protein,tropifexor,80,-9.67
model_01_psef_protein,givinostat,58,-9.67
model_01_psef_protein,MRS-1220,2,-9.67
model_01_psef_protein,ADL5859,9,-9.67
model_01_psef_protein,BRD4770,76,-9.67
model_01_psef_protein,donepezil,51,-9.67
model_01_psef_protein,SID-7969543,74,-9.67
model_01_psef_protein,BMS-906024,1,-9.67
model_01_psef_protein,EO-1428,15,-9.67
model_01_psef_protein,BMS-387032,30,-9.67
model_01_psef_protein,losartan,36,-9.67
model_01_psef_protein,BMS-690514,25,-9.67
model_01_psef_protein,COH29,70,-9.67
model_01_psef_protein,viomycin,35,-9.66
model_01_psef_protein,remacemide,9,-9.66
model_01_psef_protein,rifampin,63,-9.66
model_01_psef_protein,ABBV-744,73,-9.66
model_01_psef_protein,eprazinone,78,-9.66
model_01_psef_protein,TAK-659,82,-9.66
model_01_psef_protein,FGIN-1-43,14,-9.66
model_01_psef_protein,BAG-956,53,-9.66
model_01_psef_protein,P7C3,77,-9.66
model_01_psef_protein,lifirafenib,48,-9.66
model_01_psef_protein,PK-THPP,34,-9.66
model_01_psef_protein,linsitinib,25,-9.66
model_01_psef_protein,sulbutiamine,77,-9.66
model_01_psef_protein,AM-281,40,-9.66
model_01_psef_protein,prenylamine,25,-9.66
model_01_psef_protein,iCRT-14,40,-9.65
model_01_psef_protein,ER-27319,37,-9.65
model_01_psef_protein,12-O-tetradecanoylphorbol-13-acetate,77,-9.65
model_01_psef_protein,SN-38,79,-9.65
model_01_psef_protein,CC-930,20,-9.65
model_01_psef_protein,AGI-5198,85,-9.65
model_01_psef_protein,PF-06873600,42,-9.65
model_01_psef_protein,roblitinib,89,-9.65
model_01_psef_protein,CGP-55845,23,-9.65
model_01_psef_protein,MK-0773,2,-9.65
model_01_psef_protein,litronesib,97,-9.65
model_01_psef_protein,API-001,53,-9.64
model_01_psef_protein,COTI-2,12,-9.64
model_01_psef_protein,PTC-209,52,-9.64
model_01_psef_protein,R-1485,13,-9.64
model_01_psef_protein,SR-95639A,49,-9.64
model_01_psef_protein,R-96544,26,-9.64
model_01_psef_protein,GSK1292263,45,-9.64
model_01_psef_protein,NVP-AUY922,16,-9.64
model_01_psef_protein,STA-5326,53,-9.64
model_01_psef_protein,deferasirox,48,-9.63
model_01_psef_protein,rocuronium,15,-9.63
model_01_psef_protein,bafilomycin-a1,10,-9.63
model_01_psef_protein,tecastemizole,88,-9.63
model_01_psef_protein,PF-04457845,58,-9.63
model_01_psef_protein,pafuramidine,52,-9.62
model_01_psef_protein,fosinoprilat,15,-9.62
model_01_psef_protein,OSI-027,50,-9.62
model_01_psef_protein,MK-4074,11,-9.62
model_01_psef_protein,arbidol,41,-9.62
model_01_psef_protein,PNU-142633,21,-9.62
model_01_psef_protein,micronomicin,54,-9.62
model_01_psef_protein,XL388,74,-9.62
model_01_psef_protein,OTX015,35,-9.62
model_01_psef_protein,ZM-336372,13,-9.62
model_01_psef_protein,PSB-603,32,-9.62
model_01_psef_protein,tigecycline,16,-9.62
model_01_psef_protein,delavirdine,28,-9.61
model_01_psef_protein,talnetant,1,-9.61
model_01_psef_protein,VE-821,9,-9.61
model_01_psef_protein,levocabastine,7,-9.61
model_01_psef_protein,GSK2656157,41,-9.61
model_01_psef_protein,hexoprenaline,83,-9.61
model_01_psef_protein,buserelin,39,-9.61
model_01_psef_protein,17-hydroxyprogesterone-caproate,30,-9.61
model_01_psef_protein,polymyxin-B-sulfate,35,-9.61
model_01_psef_protein,BIBU-1361,46,-9.61
model_01_psef_protein,GSK239512,68,-9.6
model_01_psef_protein,cefetamet-pivoxil,59,-9.6
model_01_psef_protein,naftopidil,51,-9.6
model_01_psef_protein,ripretinib,4,-9.6
model_01_psef_protein,indoramin,58,-9.6
model_01_psef_protein,sitaxentan,91,-9.6
model_01_psef_protein,rimonabant,80,-9.6
model_01_psef_protein,cefprozil,29,-9.6
model_01_psef_protein,taranabant,22,-9.6
model_01_psef_protein,rose-bengal,12,-9.6
model_01_psef_protein,wnt-c59,6,-9.6
model_01_psef_protein,GSK356278,50,-9.6
model_01_psef_protein,GSK2982772,60,-9.59
model_01_psef_protein,S15535,22,-9.59
model_01_psef_protein,L-741742,78,-9.59
model_01_psef_protein,epigallocatechin-gallate-(-),30,-9.59
model_01_psef_protein,LY3023414,77,-9.59
model_01_psef_protein,apatinib,97,-9.59
model_01_psef_protein,bromperidol,38,-9.59
model_01_psef_protein,AH-7614,66,-9.59
model_01_psef_protein,RWJ-67657,11,-9.59
model_01_psef_protein,NBI-74330-(+_-),26,-9.59
model_01_psef_protein,GW-843682X,76,-9.59
model_01_psef_protein,WAY-316606,90,-9.59
model_01_psef_protein,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,77,-9.59
model_01_psef_protein,reserpine,96,-9.59
model_01_psef_protein,A66,12,-9.59
model_01_psef_protein,ribostamycin,29,-9.58
model_01_psef_protein,emodepside,80,-9.58
model_01_psef_protein,benzthiazide,46,-9.58
model_01_psef_protein,ezetimibe,91,-9.58
model_01_psef_protein,TIC10,92,-9.58
model_01_psef_protein,mibefradil,97,-9.58
model_01_psef_protein,BIBX-1382,55,-9.58
model_01_psef_protein,radezolid,20,-9.57
model_01_psef_protein,SKLB-1028,39,-9.57
model_01_psef_protein,oleanolic-acid,2,-9.57
model_01_psef_protein,pixantrone,34,-9.57
model_01_psef_protein,daidzin,29,-9.57
model_01_psef_protein,PF-04995274,7,-9.57
model_01_psef_protein,niraparib,79,-9.57
model_01_psef_protein,alpha-glucosyl-hesperidin,54,-9.56
model_01_psef_protein,SB-612111,96,-9.56
model_01_psef_protein,Ro-5028442,95,-9.56
model_01_psef_protein,rilpivirine,38,-9.56
model_01_psef_protein,pipamperone,75,-9.56
model_01_psef_protein,2-PMDQ,4,-9.56
model_01_psef_protein,tilorone,89,-9.56
model_01_psef_protein,PD1-PDL-inhibitor-1,12,-9.56
model_01_psef_protein,camylofine-chlorhydrate,3,-9.56
model_01_psef_protein,cholic-acid,80,-9.56
model_01_psef_protein,anlotinib,41,-9.56
model_01_psef_protein,NIDA-41020,100,-9.56
model_01_psef_protein,ABT-239,37,-9.55
model_01_psef_protein,INCB-003284,29,-9.55
model_01_psef_protein,lorediplon,93,-9.55
model_01_psef_protein,vesnarinone,27,-9.55
model_01_psef_protein,GSK-J4,57,-9.55
model_01_psef_protein,OPC-21268,58,-9.55
model_01_psef_protein,piricapiron,56,-9.55
model_01_psef_protein,permethrin,40,-9.55
model_01_psef_protein,diosgenin,5,-9.55
model_01_psef_protein,BVD-523,6,-9.55
model_01_psef_protein,taladegib,87,-9.54
model_01_psef_protein,PKI-166,86,-9.54
model_01_psef_protein,eravacycline,5,-9.54
model_01_psef_protein,naltrindole,78,-9.54
model_01_psef_protein,PF-05175157,62,-9.54
model_01_psef_protein,halofuginone,83,-9.54
model_01_psef_protein,cefodizime,50,-9.54
model_01_psef_protein,APY-29,23,-9.54
model_01_psef_protein,methyllycaconitine,99,-9.53
model_01_psef_protein,DIM-C-pPhCO2Me,20,-9.53
model_01_psef_protein,halopemide,38,-9.53
model_01_psef_protein,NSI-189,15,-9.53
model_01_psef_protein,salvinorin-A,30,-9.53
model_01_psef_protein,alfadolone-acetate,82,-9.53
model_01_psef_protein,PF-915275,55,-9.53
model_01_psef_protein,TP-003,100,-9.53
model_01_psef_protein,taurocholate,32,-9.53
model_01_psef_protein,ipsapirone,76,-9.53
model_01_psef_protein,NSC-636819,47,-9.53
model_01_psef_protein,larotrectinib,1,-9.53
model_01_psef_protein,DRF053-(R),7,-9.52
model_01_psef_protein,isosteviol,25,-9.52
model_01_psef_protein,metocurine,82,-9.52
model_01_psef_protein,benperidol,33,-9.52
model_01_psef_protein,BMS-770767,10,-9.52
model_01_psef_protein,megestrol,24,-9.52
model_01_psef_protein,ibuprofen-lysine,2,-9.52
model_01_psef_protein,AZD7762,29,-9.52
model_01_psef_protein,L-778123,26,-9.52
model_01_psef_protein,opipramol,16,-9.52
model_01_psef_protein,ML298,17,-9.52
model_01_psef_protein,evans-blue,85,-9.52
model_01_psef_protein,cutamesine,30,-9.52
model_01_psef_protein,almitrine,70,-9.52
model_01_psef_protein,saxagliptin,16,-9.52
model_01_psef_protein,hydroxyprogesterone-acetate,45,-9.52
model_01_psef_protein,zatebradine,18,-9.51
model_01_psef_protein,PLX4720,56,-9.51
model_01_psef_protein,EI1,14,-9.51
model_01_psef_protein,cortisone-acetate,1,-9.51
model_01_psef_protein,PIK-75,79,-9.51
model_01_psef_protein,BTT-3033,64,-9.51
model_01_psef_protein,zotarolimus,40,-9.51
model_01_psef_protein,FIT,23,-9.51
model_01_psef_protein,M-25,15,-9.51
model_01_psef_protein,dolutegravir,77,-9.51
model_01_psef_protein,retaspimycin,44,-9.51
model_01_psef_protein,pivmecillinam,66,-9.51
model_01_psef_protein,RMC-4550,9,-9.51
model_01_psef_protein,DMH1,55,-9.5
model_01_psef_protein,PRX-08066,58,-9.5
model_01_psef_protein,ENMD-2076,7,-9.5
model_01_psef_protein,T-0156,11,-9.5
model_01_psef_protein,ML141,52,-9.5
model_01_psef_protein,NAN-190,89,-9.5
model_01_psef_protein,tacrolimus,73,-9.5
model_01_psef_protein,dolasetron,48,-9.5
model_01_psef_protein,PDD-00017273,41,-9.5
model_01_psef_protein,mirodenafil,15,-9.5
model_01_psef_protein,tafluprost,92,-9.5
model_01_psef_protein,spiperone,17,-9.49
model_01_psef_protein,ONC201,11,-9.49
model_01_psef_protein,VBY-825,4,-9.49
model_01_psef_protein,rifamycin,59,-9.49
model_01_psef_protein,BMS-626531,6,-9.49
model_01_psef_protein,talinolol,77,-9.49
model_01_psef_protein,ZK-811752,49,-9.49
model_01_psef_protein,CID-2011756,81,-9.49
model_01_psef_protein,MDL-73005EF,23,-9.49
model_01_psef_protein,F-16915,61,-9.48
model_01_psef_protein,TC-S-7006,27,-9.48
model_01_psef_protein,haloperidol,76,-9.48
model_01_psef_protein,temocapril,36,-9.48
model_01_psef_protein,EW-7197,14,-9.48
model_01_psef_protein,cyt387,27,-9.48
model_01_psef_protein,pregnenolone,13,-9.48
model_01_psef_protein,GR-159897,100,-9.48
model_01_psef_protein,clofoctol,12,-9.48
model_01_psef_protein,LY2228820,32,-9.48
model_01_psef_protein,cabergoline,40,-9.48
model_01_psef_protein,piboserod,97,-9.47
model_01_psef_protein,levothyroxine,84,-9.47
model_01_psef_protein,KU-55933,7,-9.47
model_01_psef_protein,atovaquone,14,-9.47
model_01_psef_protein,butaclamol,33,-9.47
model_01_psef_protein,W-54011,1,-9.47
model_01_psef_protein,perhexiline,57,-9.47
model_01_psef_protein,ANA-12,54,-9.47
model_01_psef_protein,verbascoside,65,-9.47
model_01_psef_protein,latrepirdine,99,-9.47
model_01_psef_protein,ifenprodil,5,-9.47
model_01_psef_protein,K145,11,-9.47
model_01_psef_protein,TCN201,86,-9.47
model_01_psef_protein,candesartan,63,-9.47
model_01_psef_protein,copanlisib,88,-9.46
model_01_psef_protein,rolapitant,20,-9.46
model_01_psef_protein,aptiganel,4,-9.46
model_01_psef_protein,AZD4547,85,-9.46
model_01_psef_protein,epoprostenol,45,-9.46
model_01_psef_protein,rimexolone,39,-9.46
model_01_psef_protein,lovastatin,32,-9.46
model_01_psef_protein,MKT-077,2,-9.46
model_01_psef_protein,mevastatin,79,-9.46
model_01_psef_protein,droperidol,70,-9.46
model_01_psef_protein,TXA127,73,-9.46
model_01_psef_protein,MRS-3777,46,-9.46
model_01_psef_protein,GDC-0927,61,-9.46
model_01_psef_protein,gamithromycin,90,-9.46
model_01_psef_protein,PSNCBAM-1,14,-9.46
model_01_psef_protein,revaprazan,29,-9.46
model_01_psef_protein,odanacatib,23,-9.46
model_01_psef_protein,SB-747651A,80,-9.45
model_01_psef_protein,adapalene,46,-9.45
model_01_psef_protein,ITD-1,4,-9.45
model_01_psef_protein,phenserine,33,-9.45
model_01_psef_protein,MK-886,31,-9.45
model_01_psef_protein,SB-228357,5,-9.45
model_01_psef_protein,olodanrigan,39,-9.45
model_01_psef_protein,megestrol-acetate,53,-9.45
model_01_psef_protein,metitepine,3,-9.45
model_01_psef_protein,JX-401,1,-9.44
model_01_psef_protein,AR-12,69,-9.44
model_01_psef_protein,10-hydroxycamptothecin,10,-9.44
model_01_psef_protein,desloratadine,7,-9.44
model_01_psef_protein,medroxyprogesterone,83,-9.44
model_01_psef_protein,centhaquin,48,-9.44
model_01_psef_protein,zoliflodacin,8,-9.44
model_01_psef_protein,dorsomorphin,15,-9.44
model_01_psef_protein,ARC-239,69,-9.44
model_01_psef_protein,FN-1501,30,-9.44
model_01_psef_protein,JI-101,81,-9.44
model_01_psef_protein,nebivolol,83,-9.44
model_01_psef_protein,tivozanib,97,-9.43
model_01_psef_protein,cyproterone-acetate,37,-9.43
model_01_psef_protein,BIRT-377,35,-9.43
model_01_psef_protein,CP-775146,23,-9.43
model_01_psef_protein,ivosidenib,63,-9.43
model_01_psef_protein,SR-2211,16,-9.43
model_01_psef_protein,flupentixol,23,-9.43
model_01_psef_protein,BMS-582949,69,-9.43
model_01_psef_protein,PHT-427,69,-9.43
model_01_psef_protein,GR-127935,70,-9.43
model_01_psef_protein,SCH-221510,35,-9.43
model_01_psef_protein,norfluoxetine,83,-9.43
model_01_psef_protein,barasertib,73,-9.43
model_01_psef_protein,ceftobiprole,92,-9.43
model_01_psef_protein,SDZ-21009,53,-9.43
model_01_psef_protein,RN-1747,44,-9.43
model_01_psef_protein,SNS-314,9,-9.43
model_01_psef_protein,VS-4718,7,-9.43
model_01_psef_protein,clamikalant,63,-9.43
model_01_psef_protein,amprenavir,43,-9.43
model_01_psef_protein,MY-5445,29,-9.43
model_01_psef_protein,ZM-39923,95,-9.42
model_01_psef_protein,fipexide,44,-9.42
model_01_psef_protein,amtolmetin-guacil,64,-9.42
model_01_psef_protein,merimepodib,17,-9.42
model_01_psef_protein,mibampator,38,-9.42
model_01_psef_protein,vandetanib,93,-9.42
model_01_psef_protein,A740003,70,-9.42
model_01_psef_protein,motesanib,79,-9.42
model_01_psef_protein,Ro-61-8048,45,-9.42
model_01_psef_protein,prochlorperazine,1,-9.42
model_01_psef_protein,defactinib,27,-9.42
model_01_psef_protein,tipelukast,85,-9.42
model_01_psef_protein,GR-235,5,-9.42
model_01_psef_protein,temanogrel,43,-9.41
model_01_psef_protein,CORT-108297,91,-9.41
model_01_psef_protein,alvimopan,20,-9.41
model_01_psef_protein,TAK-063,45,-9.41
model_01_psef_protein,ZM-323881,82,-9.41
model_01_psef_protein,R-1487,38,-9.41
model_01_psef_protein,O-304,58,-9.41
model_01_psef_protein,bevirimat-dimeglumine,44,-9.41
model_01_psef_protein,trihexyphenidyl,5,-9.41
model_01_psef_protein,medroxyprogesterone-acetate,52,-9.41
model_01_psef_protein,troleandomycin,50,-9.41
model_01_psef_protein,buparvaquone,11,-9.41
model_01_psef_protein,ATB-346,94,-9.41
model_01_psef_protein,BMS-806,47,-9.4
model_01_psef_protein,RBC8,2,-9.4
model_01_psef_protein,befuraline,11,-9.4
model_01_psef_protein,triamcinolone-hexacetonide,17,-9.4
model_01_psef_protein,SR-11302,61,-9.4
model_01_psef_protein,dinaciclib,45,-9.4
model_01_psef_protein,tenofovir-alafenamide,58,-9.4
model_01_psef_protein,pritelivir,70,-9.4
model_01_psef_protein,cbl0137,49,-9.4
model_01_psef_protein,CCT129202,73,-9.4
model_01_psef_protein,pradefovir,64,-9.4
model_01_psef_protein,KAF-156,78,-9.4
model_01_psef_protein,curcumin,83,-9.4
model_01_psef_protein,famprofazone,43,-9.4
model_01_psef_protein,CEP-32496,34,-9.4
model_01_psef_protein,homochlorcyclizine(brd-a22769835),49,-9.4
model_01_psef_protein,trandolapril,54,-9.4
model_01_psef_protein,radiprodil,30,-9.4
model_01_psef_protein,epothilone-A,20,-9.39
model_01_psef_protein,ulipristal,46,-9.39
model_01_psef_protein,VU29,83,-9.39
model_01_psef_protein,ansamitocin-p-3,53,-9.39
model_01_psef_protein,SB-328437,1,-9.39
model_01_psef_protein,TAK-960,1,-9.39
model_01_psef_protein,telotristat,95,-9.39
model_01_psef_protein,AVN-944,37,-9.39
model_01_psef_protein,BI-224436,10,-9.39
model_01_psef_protein,NAS-181,62,-9.39
model_01_psef_protein,LDN-212854,3,-9.39
model_01_psef_protein,avatrombopag,93,-9.39
model_01_psef_protein,LGK-974,79,-9.39
model_01_psef_protein,PF-514273,45,-9.39
model_01_psef_protein,AM-92016,85,-9.38
model_01_psef_protein,ivacaftor,16,-9.38
model_01_psef_protein,UC-112,15,-9.38
model_01_psef_protein,MK-2048,16,-9.38
model_01_psef_protein,PRX-07034,47,-9.38
model_01_psef_protein,epicatechin-gallate-(-),64,-9.38
model_01_psef_protein,A-804598,3,-9.38
model_01_psef_protein,fenretinide,88,-9.38
model_01_psef_protein,PHP-501,39,-9.38
model_01_psef_protein,gefitinib,33,-9.37
model_01_psef_protein,PF-3845,66,-9.37
model_01_psef_protein,fluphenazine,57,-9.37
model_01_psef_protein,LEQ506,89,-9.37
model_01_psef_protein,repaglinide,63,-9.37
model_01_psef_protein,VU1545,28,-9.37
model_01_psef_protein,BMS-688521,42,-9.37
model_01_psef_protein,Ro-48-8071,44,-9.37
model_01_psef_protein,AMG-510,84,-9.37
model_01_psef_protein,TC-I-2014,19,-9.37
model_01_psef_protein,nemorexant,32,-9.37
model_01_psef_protein,amodiaquine,81,-9.37
model_01_psef_protein,G007-LK,26,-9.37
model_01_psef_protein,puromycin,28,-9.37
model_01_psef_protein,duvelisib,32,-9.37
model_01_psef_protein,ruboxistaurin,18,-9.37
model_01_psef_protein,cyclothiazide,55,-9.36
model_01_psef_protein,autotaxin-modulator-1,96,-9.36
model_01_psef_protein,licochalcone-A,13,-9.36
model_01_psef_protein,Nampt-IN-1,33,-9.36
model_01_psef_protein,RAF265,98,-9.36
model_01_psef_protein,temsirolimus,63,-9.36
model_01_psef_protein,dilazep,87,-9.36
model_01_psef_protein,TCS-2210,58,-9.36
model_01_psef_protein,AGI-6780,59,-9.36
model_01_psef_protein,palomid-529,48,-9.36
model_01_psef_protein,AZD2858,38,-9.36
model_01_psef_protein,hemomex-s,59,-9.36
model_01_psef_protein,tubastatin-A,31,-9.35
model_01_psef_protein,AMG-487-(+_-),35,-9.35
model_01_psef_protein,CI-923,39,-9.35
model_01_psef_protein,ORG-25543,7,-9.35
model_01_psef_protein,CR8-(R),55,-9.35
model_01_psef_protein,TC-G-1008,31,-9.35
model_01_psef_protein,dromostanolone-propionate,30,-9.35
model_01_psef_protein,algestone-acetophenide,2,-9.35
model_01_psef_protein,DBeQ,25,-9.35
model_01_psef_protein,CPI-444,78,-9.35
model_01_psef_protein,BMS-587101,88,-9.35
model_01_psef_protein,BML-284,41,-9.34
model_01_psef_protein,cefmenoxime,90,-9.34
model_01_psef_protein,GS-9620,32,-9.34
model_01_psef_protein,ACT-462206,38,-9.34
model_01_psef_protein,PLX647,37,-9.34
model_01_psef_protein,octocrylene,82,-9.34
model_01_psef_protein,mavatrep,37,-9.34
model_01_psef_protein,4-IBP,95,-9.34
model_01_psef_protein,mesoridazine,90,-9.34
model_01_psef_protein,difluprednate,74,-9.34
model_01_psef_protein,BFH772,1,-9.34
model_01_psef_protein,MK-1064,58,-9.34
model_01_psef_protein,ramatroban,24,-9.34
model_01_psef_protein,PK-44,30,-9.34
model_01_psef_protein,fendiline,37,-9.33
model_01_psef_protein,APY0201,14,-9.33
model_01_psef_protein,amperozide,76,-9.33
model_01_psef_protein,PIK-293,13,-9.33
model_01_psef_protein,sobuzoxane,59,-9.33
model_01_psef_protein,Ko143,63,-9.33
model_01_psef_protein,BTK-IN-1,94,-9.33
model_01_psef_protein,AM095,77,-9.33
model_01_psef_protein,tubocurarine,79,-9.33
model_01_psef_protein,pruvanserin,38,-9.33
model_01_psef_protein,CC-90003,21,-9.32
model_01_psef_protein,LY3009120,88,-9.32
model_01_psef_protein,brucine,41,-9.32
model_01_psef_protein,levobunolol-(+),6,-9.32
model_01_psef_protein,APTO-253,15,-9.32
model_01_psef_protein,relcovaptan,66,-9.32
model_01_psef_protein,bardoxolone-methyl,37,-9.32
model_01_psef_protein,fisogatinib,16,-9.32
model_01_psef_protein,E7449,58,-9.32
model_01_psef_protein,norethindrone-acetate,27,-9.32
model_01_psef_protein,ML218,27,-9.32
model_01_psef_protein,LY334370,86,-9.32
model_01_psef_protein,apremilast,83,-9.32
model_01_psef_protein,bevenopran,72,-9.32
model_01_psef_protein,cefonicid,94,-9.32
model_01_psef_protein,PLX51107,83,-9.32
model_01_psef_protein,CBiPES,52,-9.31
model_01_psef_protein,loracarbef,90,-9.31
model_01_psef_protein,medrysone,25,-9.31
model_01_psef_protein,camostat-mesilate,99,-9.31
model_01_psef_protein,OLDA,19,-9.31
model_01_psef_protein,substance-P,83,-9.31
model_01_psef_protein,RHC-80267,74,-9.31
model_01_psef_protein,EC-144,88,-9.31
model_01_psef_protein,pirmenol,26,-9.31
model_01_psef_protein,AG-556,21,-9.31
model_01_psef_protein,stetaderm,72,-9.31
model_01_psef_protein,GDC-0077,52,-9.31
model_01_psef_protein,CIQ,14,-9.31
model_01_psef_protein,nTZDpa,44,-9.31
model_01_psef_protein,NNC-63-0532,1,-9.3
model_01_psef_protein,ginsenoside-RD,68,-9.3
model_01_psef_protein,cinobufotalin,58,-9.3
model_01_psef_protein,PD-118057,31,-9.3
model_01_psef_protein,mavoglurant,1,-9.3
model_01_psef_protein,labetalol,5,-9.3
model_01_psef_protein,CHIR-99021,12,-9.3
model_01_psef_protein,adoprazine,61,-9.3
model_01_psef_protein,sal003,54,-9.3
model_01_psef_protein,talaporfin,14,-9.3
model_01_psef_protein,AMI-1,20,-9.3
model_01_psef_protein,telatinib,20,-9.3
model_01_psef_protein,hetacillin,18,-9.3
model_01_psef_protein,ATN-161,81,-9.3
model_01_psef_protein,GW-842166,95,-9.3
model_01_psef_protein,cephradine,86,-9.3
model_01_psef_protein,BETP,50,-9.29
model_01_psef_protein,salmeterol,1,-9.29
model_01_psef_protein,AZD3514,42,-9.29
model_01_psef_protein,RGFP966,79,-9.29
model_01_psef_protein,Ro-1138452,30,-9.29
model_01_psef_protein,CGS-21680,62,-9.29
model_01_psef_protein,IDH-305,72,-9.29
model_01_psef_protein,RS-67506,69,-9.29
model_01_psef_protein,sofosbuvir,100,-9.29
model_01_psef_protein,LY2157299,96,-9.29
model_01_psef_protein,KI-16425,29,-9.28
model_01_psef_protein,methylprednisolone-aceponate,58,-9.28
model_01_psef_protein,eliglustat,65,-9.28
model_01_psef_protein,GK921,47,-9.28
model_01_psef_protein,LY3000328,49,-9.28
model_01_psef_protein,levobunolol-(+_-),73,-9.28
model_01_psef_protein,parecoxib,12,-9.28
model_01_psef_protein,GSK2578215A,66,-9.28
model_01_psef_protein,CH-5183284,72,-9.28
model_01_psef_protein,gedunin,24,-9.28
model_01_psef_protein,Ro-4987655,87,-9.27
model_01_psef_protein,cariprazine,49,-9.27
model_01_psef_protein,avanafil,58,-9.27
model_01_psef_protein,GW-9508,70,-9.27
model_01_psef_protein,amoxicillin,39,-9.27
model_01_psef_protein,ETC-159,4,-9.27
model_01_psef_protein,ME-0328,26,-9.27
model_01_psef_protein,fosaprepitant-dimeglumine,33,-9.27
model_01_psef_protein,tirofiban,19,-9.27
model_01_psef_protein,levobunolol,52,-9.27
model_01_psef_protein,amsacrine,56,-9.27
model_01_psef_protein,GNTI,20,-9.27
model_01_psef_protein,carboxylosartan,29,-9.27
