Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,tobramycin,11,-11.56
model_01_psef_protein,retinyl-palmitate,95,-11.56
model_01_psef_protein,zafirlukast,99,-11.56
model_01_psef_protein,clonixin-lysinate,38,-11.55
model_01_psef_protein,ziritaxestat,12,-11.55
model_01_psef_protein,UNC0638,82,-11.54
model_01_psef_protein,pirarubicin,61,-11.54
model_01_psef_protein,CEP-37440,32,-11.54
model_01_psef_protein,AC-55541,62,-11.54
model_01_psef_protein,BIO-1211,16,-11.54
model_01_psef_protein,KU-60019,21,-11.53
model_01_psef_protein,darglitazone,54,-11.53
model_01_psef_protein,maytansinol-isobutyrate,2,-11.53
model_01_psef_protein,efonidipine,15,-11.52
model_01_psef_protein,nilotinib,42,-11.51
model_01_psef_protein,CP-640186,15,-11.51
model_01_psef_protein,niguldipine-(R)-(-),97,-11.51
model_01_psef_protein,ML193,34,-11.51
model_01_psef_protein,aripiprazole-lauroxil,28,-11.51
model_01_psef_protein,GSK256066,39,-11.49
model_01_psef_protein,SDZ-NKT-343,85,-11.49
model_01_psef_protein,bromocriptine,23,-11.49
model_01_psef_protein,gliquidone,65,-11.49
model_01_psef_protein,TC-S-7003,16,-11.49
model_01_psef_protein,atracurium,62,-11.49
model_01_psef_protein,dexniguldipine,78,-11.49
model_01_psef_protein,avapritinib,26,-11.48
model_01_psef_protein,ONX-0914,5,-11.48
model_01_psef_protein,SNAP-5089,59,-11.48
model_01_psef_protein,landiolol,97,-11.48
model_01_psef_protein,VTP-27999,26,-11.48
model_01_psef_protein,indocyanine-green,43,-11.47
model_01_psef_protein,doramectin,37,-11.47
model_01_psef_protein,probucol,61,-11.47
model_01_psef_protein,UNC0321,73,-11.47
model_01_psef_protein,dalargin,5,-11.47
model_01_psef_protein,EMD-1214063,85,-11.46
model_01_psef_protein,itraconazole,66,-11.46
model_01_psef_protein,EPZ020411,78,-11.46
model_01_psef_protein,AVE-0991,71,-11.46
model_01_psef_protein,AMN-082,38,-11.46
model_01_psef_protein,tazemetostat,27,-11.46
model_01_psef_protein,T-5224,32,-11.45
model_01_psef_protein,MK-0893,41,-11.45
model_01_psef_protein,doramapimod,69,-11.44
model_01_psef_protein,CGM097,75,-11.44
model_01_psef_protein,avitinib,73,-11.43
model_01_psef_protein,EPZ-5676,71,-11.43
model_01_psef_protein,AT-1015,59,-11.43
model_01_psef_protein,URMC-099,3,-11.43
model_01_psef_protein,acrisorcin,38,-11.43
model_01_psef_protein,hesperadin,4,-11.43
model_01_psef_protein,leuprolide,91,-11.42
model_01_psef_protein,BQ-788,41,-11.42
model_01_psef_protein,LY2090314,36,-11.41
model_01_psef_protein,meclinertant,19,-11.41
model_01_psef_protein,eluxadoline,55,-11.4
model_01_psef_protein,camobucol,56,-11.4
model_01_psef_protein,radotinib,23,-11.4
model_01_psef_protein,VU0155069,40,-11.4
model_01_psef_protein,BMS-566419,92,-11.4
model_01_psef_protein,menatetrenone,68,-11.4
model_01_psef_protein,BAN-ORL-24,44,-11.39
model_01_psef_protein,haloperidol-decanoate,100,-11.39
model_01_psef_protein,foretinib,90,-11.39
model_01_psef_protein,CK-101,71,-11.39
model_01_psef_protein,LY2608204,62,-11.39
model_01_psef_protein,icatibant-acetate,59,-11.38
model_01_psef_protein,fexofenadine,20,-11.37
model_01_psef_protein,olmutinib,51,-11.37
model_01_psef_protein,gepotidacin,24,-11.37
model_01_psef_protein,crenolanib,51,-11.37
model_01_psef_protein,ASP3026,45,-11.36
model_01_psef_protein,PKI-179,70,-11.36
model_01_psef_protein,cinaciguat,96,-11.36
model_01_psef_protein,EPZ011989,41,-11.36
model_01_psef_protein,upamostat,50,-11.36
model_01_psef_protein,lazertinib,60,-11.36
model_01_psef_protein,LB42708,35,-11.36
model_01_psef_protein,PHA-665752,14,-11.36
model_01_psef_protein,monensin,12,-11.35
model_01_psef_protein,DPI-201106,76,-11.35
model_01_psef_protein,L-368899,80,-11.35
model_01_psef_protein,L-798106,37,-11.35
model_01_psef_protein,visomitin,58,-11.35
model_01_psef_protein,uki-1,65,-11.35
model_01_psef_protein,UNC0737,53,-11.35
model_01_psef_protein,ARV-825,92,-11.34
model_01_psef_protein,maropitant,11,-11.34
model_01_psef_protein,telratolimod,97,-11.34
model_01_psef_protein,darapladib,8,-11.33
model_01_psef_protein,DR-4485,71,-11.33
model_01_psef_protein,evacetrapib,41,-11.32
model_01_psef_protein,SAR-245409,14,-11.32
model_01_psef_protein,apramycin,95,-11.32
model_01_psef_protein,zosuquidar,40,-11.32
model_01_psef_protein,BMS-986142,71,-11.31
model_01_psef_protein,GGTI-298,46,-11.31
model_01_psef_protein,grapiprant,3,-11.31
model_01_psef_protein,rebastinib,74,-11.31
model_01_psef_protein,edasalonexent,80,-11.3
model_01_psef_protein,AMG-PERK-44,25,-11.3
model_01_psef_protein,CUDC-427,87,-11.3
model_01_psef_protein,lumefantrine,26,-11.3
model_01_psef_protein,JZL-184,92,-11.3
model_01_psef_protein,SR-3306,100,-11.3
model_01_psef_protein,BX-795,68,-11.3
model_01_psef_protein,SU11274,4,-11.29
model_01_psef_protein,decamethoxine,84,-11.28
model_01_psef_protein,GSK2816126,94,-11.28
model_01_psef_protein,BAX-channel-blocker,65,-11.28
model_01_psef_protein,SAM-315,64,-11.28
model_01_psef_protein,gentamycin,29,-11.28
model_01_psef_protein,NVP-BSK805,43,-11.28
model_01_psef_protein,RV1729,98,-11.28
model_01_psef_protein,maraviroc,38,-11.27
model_01_psef_protein,glesatinib,12,-11.27
